describe_discussion_employer,describe_discussion_coworker,describe_coworker_discussion_coworker,describe_discussion_previous_employer,describe_discussion_previous_coworker,describe_previous_coworker_discussion_coworker,PH_during_interview_why,MH_during_interview_why,describe_negative_reaction,describe_industry_AOI,other_comments
,Spoke about my anxiety they were very supportive,"they spoke about their depression, i offered my support ",,,,,I'd be worried they wouldn't hire me ,,They don't take it seriously,
,"the coworker was comprehensive, empathetic and understanding","a discussion about symptoms of depression, and that coworker's struggle on a project",,understanding and supportive,,it may require specific measures to accomodate my needs,mental health issues are stigmatised and misunderstood by many,"During a discussion about ""mental health first aider"" at work, a coworker dismissed the whole idea, saying that ""no one here suffers from Mental Health Disorder""","raise awareness, talk about it to lessen the stigma",
"The conversation went well, he too suffers mental illness... however, I was just fired for having a mental illness episode and not being about to get my work done.",They all seemed understanding and some even admitted to having some issues themselves,,,"The ones that I discussed it with were actually close friends, so they were always aware",,I will sometimes bring up my psoriasis just as an explanation why when I have a flare up I wear a hat most of the time,stigma,"I was suffering depression and I was open about that, that is why my numbers fell, but then I started drinking too much and admitted myself into a detox/psych facility to get better... 5 days later I get out to find myself fired","Education and awareness, statistics, add supportive writing to the company handbook",
Direct Manager and HR know because of medication. No real reactions,Coworkers that have become friends with me are supportive,,,,,Anything that may hurt my chances to be hired is not going to be provided,Might hurt my chances,,"More support, less burnout and death marches",
,,,,I'm in mental heatlh so I talk about it often.,They talked about as caregivers of family member.,"It depends. it's not something you start with at an interview, get the job first, then share. I have before.",Don't think it's connected to the job. You do that like salary when you get the offer.,,I think tech is more internal and they don't really talk about feelings or issues.,nope
,,,,,,It would depend on what it is..,It wouldn't feel safe,,"Awareness, changed work schedules and expectations",
,I've talked about my depression with coworkers in the past. They were good listeners and very supportive.,A colleague was experiencing extreme anxiety at work. I listened and provided support.,I've mentioned ADHD and anxiety before but in a casual manner.,I've had conversations about depression with colleagues. They were supportive.,"We were very concerned about her, it was affecting her work. We talked about how to help her build her confidence back up.",It seems like it would be a distraction.,I would be worried that it would affect my interview.,,"Be more vocal about supporting employees with issues, and supporting mental health time off.",
,,One of my coworkers took a month off due to burn out and we talked about it afterward. I admired him so much for doing that,,,"A co-worker discussed their addiction with me, but had sought treatment outside of the work environment","I want to maintain my privacy. Unless I end up with a physical health issue that would affect my work, I don't think it's their business",Same as above - none of their business,,I think we over work ourselves and each other. We expect everyone to be connected all the time and humans just weren't meant to work to this degree. We need to cut each other more slack,
,,,,,,Fear of not getting the job,Fear of not getting the job,,Don’t know ,
,,,ok,OK,,ok,ok,ok,ok,ok
I needed to discuss accommodations due to Autism and ADHD.  The conversation was with my boss and the inclusion officer. Conversation went well.  Agreed accommodations where never actually implemented.    ,To a select few co-workers I did talk about mental health diagnosis.  Basically there reaction was I don't care.  ,"When I disclosed to a co-worker my diagnosis, he disclosed his back along with the meds he was taking.  ",,,,Fearful of not getting job.  ,Fearful of not getting job. ,Was told it does not matter.  ,Be open about talking about and open about accommodations for it and stop pushing workers toward burnout. ,
,,,,,,You will not get the job if you have anything wrong with you mental or physical. ,You will not get the job if you have anything wrong with you mental or physical. ,Several times I've seen people with depression or other mental problems be fired rather then the employer be supportive and try to deal with/help that person. ,"Make employees more aware of any programs they have options to, STOP firing people that have these problems rather then deal with it. Realize that just because someone might miss a lot of work its not because they are lazy. With me its because of stress and depression. My job is almost nothing but pressure/stress and trying to make everything perfect. I'm a QA and the entire companies software dependability rests on my shoulders alone. ","People with mental disorders can be just as productive as any other worker. They just need to be dealt with in a different manner. Saying the least negative thing to them, which to you is nothing, can devastate their entire mental being. Most of us evaluate our self worth on how well we do our job and if were told were doing a bad job we feel useless. You'd be surprised how far the lightest of encouragement goes to make us feel better. You will get ten times more response out of a person with depression/anxiety if you use encouragement and positive reinforcement then if you focus on the negatives of their performance. "
"Are you OK?
Yeup","What's up, guys?",,,,,,,,,
,,,,,,"If it was relevant to the job, I would bring it up.",There is a stigma.,,"I think that the opportunity to have mental health sick leave should be just as important as normal sick leave. Also, burnout is a huge issue in tech.",
"""I suffer from extreme anxiety and ADD, and take medication for both. Sometimes this may effect my work performance, but I try hard for it to not be affected."" ",I've suffered from depression and panic attacks. ,They are depressed and trying to deal with a drinking problem. Another one is trying to fix her failing marriage and is dealing with the stress that comes from that. ,,,,I am not ashamed of it,Bc people are quick to judge and make assumptions without knowing all the facts. It is not a black and white matter; there are grey areas and not everyone realizes that. I'd rather not take the risk that I will be judged negatively for my illness. ,,People do not talk about it enough. There are not enough mental health initiatives in tech when compared to others (e.g. diversity & inclusion). ,Nope
,,,,A few former coworkers have become friends and so we've had a few honest conversations about things and responses were helpful,,If needed and I felt like it was relevant I would but I would keep discussion of illness out of the interview for fear of not getting a job,It is treated and handled and I wouldn't want it to keep me from getting a job.,A coworker that doesn't get along with me has used my illness and medication as a reason that I couldn't work through issues with them,More awareness both for ability to find treatment and also what employee options are in the workplace,
,polite,he had a problem shouting all of you,some employee need treatment,good,need treatment,its need to live,its part of life,they told iresposible,important,no
,,,,,,I would fear it may bias the interview outcome.,Fear it may bias the interview outcome.,,Raise awareness and offer services,Good mental health is vital to complete good quality work and even people without for mental health issues need support at times. Long term and short term burnout is common and I believe needs better acknowledgement and support.
,,,,,,If it's relevant to the work - of course.i would be honest. ,"I would a bit ashamed, but if I think it would affect the work (positively or negatively), and I had the feeling he wouldn't use it against me.",,Awareness & open talks to lower the obstacle of talking about it.,
,,"My coworker was brave enough to share with me that they have Bipolar disorder, during an informal friendly meeting over a cup of coffee. We became good friends, that person is one of the nicest I've ever met, and their openness made me feel I can trust them and share information about my life too. ",,,,"I would bring up the issue of physical health because a) it's visible anyway, b) I want them to know my circumstances and that they are willing to employ me irrespective of them","It highly depends on the prospective employer. In the past I have mentioned in a job interview that working full-time at my employer's premises might be overwhelming. However the discussion was initiated due to my physical illness, thus presumably my statement was interpreted as physical illness constraints?",,"Speaking more openly without judgement is a great start I find. And educating people is of utmost importance. 
If one is educated on a subject, they know what to expect. The unknown makes people defensive and apprehensive I think. Not to mention stereotypes being perceived as facts. ",Speaking openly about anything that might be considered a taboo is difficult. However I find that peer support helps a _lot_ (and I'm thankful for you all having taken this OSMI initiative. Keep the podcasts coming :) ).
,,discussed previous issues with depression and how that forced them to leave the military,,,,,,,,
,,,,,,,,,,
I have PTSD and am currently in the middle of a series of flashbacks brought on by stress at work and is negatively impacting my ability to preform my work duties.  I have recently shared my diagnosis and current issue with my flareups and have received support.,"
",After sharing my personal challenges with my mental health they shared theirs with relief that they were not alone.,,,,I would not want to be seen as unable to do the work I was interviewing for and be discriminated against.,I would not want to be seen as unable to do the work I was interviewing for and be discriminated against.,There was a former coworker who lost a baby and was likely suffering from PTSD and my employer did not handle her suffering or mental health status well.,Be more open to actively discussing mental health and what resources are available internally and externally.,
"On my second day of work, I had a breakdown and was unable to enter the building. My employer met me outside  and listened to my problems. Following our conversation he offered to let me work from home, which I did until a few weeks later when I was comfortable to come into the office.",I let my colleague know that I was feeling quite a bit under the weather. He was very understanding and gave me a lot of support.,"They let me know they were having problems over lunch. Although I didn't feel I was able to offer much, they let me know that they were thankful just to be able to share their issues with someone.",,,,I don't feel it's important to burden others with a problem that may not effect work efficiency ,I fear they would mark me down. On the other hand I feel they have the right to know of any issues in case I prove to be problematic ,,Be more open about mental health issues and offer support to this in need.,
,,,,,,Honesty. ,Honesty,,We have ZERO coverage for any mental health counselling. It all comes from a shared pool of physio / massage yearly allowance. Which is mere 1000 a year. ,
,,,,,,,,,,
,,,,I asked a coworker for a referral to a therapist.,,It would be an excuse to not hire me.,They would not hire me.,"A new hire exhibited symptoms and was summarily fired...""Just get them out of here""",x,no
,"When I had to miss work because I was having a difficult reaction to starting a new medication I spoke about it vaguely with one coworker, and he was generally understanding and told me, ""Oh, yeah, I know that can be rough.""",,,,,It would depend almost entirely on how likely I thought it was to affect my work in a noticeable way.,"I feel kind of embarrassed about it, and I don't trust people to respond appropriately, not ask probing questions, or be openly discriminatory until I know them much better than I'm likely to know anyone at a job interview.","I work for a college, and I know some staff have been dismissive of current students' mental health issues or been inclined to deny them admission, claiming that we might not have the resources to support students with certain mental health issues.",I feel like just providing easier access to and more information in general about mental health resources would go a long way.,
,,"Coworkers have described symptons, treatment, and general effects of having Anxiety and/or Depression. Coworkers have speculated about a manager having Attention Deficit Disorder.",,,,"I would not bring it up during initial interviews, not until an offer was presented. Only if I expected it to affect my work or to require accommodations.","I would not bring it up during initial interviews, not until an offer was presented. Only if I expected it to affect my work or to require accommodations.","person was treated differently thereafter, any oddity was attributed to illness.","I think that the industry provides appropriate benefits and that attitudes are accepting of differences. However, the tech industry is notoriously stressful, and likely to exacerbate difficulties.",
,,,"The conversation I’m referring to was very two-way, i.e. we were basically talking to, confiding in and supporting one another, the combination of which of significantly decreased what normally would have been either, a much more difficult conversation or simply, would not hav4 been taking place ",Very very similar to the conversation described above ,"Very uncomfortable, unfair and mean-spirited","Very difficult question to answer bc it so much depends on what the physical health issue is and what I feel, perceive or know about how the person / company interviewing deals with the same or similarly situation health issues","As interviews are generally with people you do not know and given the strong, currently existing, inherent and systemic bias, against those with mental illness, I’d b4 unwilling to take the risk",,"Much increased spending / education on better understanding mental health, generally, how and in what ways these diseases affect the afflicted, coupled with an unwavering commitment to provide the support so long as the employee keeps his / her end of the bargain ",How can I see your findings?
,,,,,,,,,,
"I was blocking out some periods of time during work days as ""busy"" on my calendar. Sometimes, I would disappear for an hour and a half and show back up later. I always worked nights and weekends to make up for the missed time but the time in office was important to my manager.

He asked me what was going on and I told him I am in outpatient rehab. He was very accepting of it. He let me know he had gone through rehab himself and that I could trust him to make things comfortable. He kept his word.

I am incredibly lucky.",,,,,,Little to no stigma attached to physical health issues.,"I am an addict, many employers discriminate against people like me.",Someone was more timid than others as a result of some social anxiety. This person was male and ridiculed relentlessly.,"Be into it at all. Tech companies jump at the chance to participate in drinking events but mental health events are not considered. Also, conferences and meetups could be less alcohol focused. People who take medication for a disorder or who are in recovery cannot drink; we are woefully forgetful of this fact. Consider offering sparkling cider and other non-alcoholic, non-water beverages at your next meetup.

Very few companies offer employees time during work hours to take care of personal things. Most doctors do not work outside business hours, it is hard to go to therapy and have a full time job.",
I needed to take 3 weeks off due to major panic / anxiety disorder.  The HR manager was very understanding and said they make no differentiation between mental and physical illness.,"After my absence from work, some asked what was up.  I initially did not talk about it for fear of prejudice, but after I started telling people most seemed very understanding.",He told me briefly about some issues with depression that he had been dealing with.,,Brief mentions of having dealt with depression.,,If they seemed potentially sympathetic or the company had a good reputation for this.,Stigma and prejudice.  I would feel like I would not get the job because of this.,,More proactive open discussions.,
,,,,,,,,,,
,,,,,,,,,,
,I have talked about feeling depressed and I had diagnosed by doctor that eating disorder with a coworker who is a junior developer. His reaction was normal as I thought it was a good opportunity to save us from such bad atmosphere in a small venture company that can't escape from over-works or take rests well.,"We talked about kindness, weakness, sensitivity. These are not matter of mental health, I think, but it seems to be the same to my coworker that ""these kinds of humanity cause mental illness"".",,,,I want to work hard in the company and have will to be treated normally.,Mental health issue is almost all about myself.,,Knowing about mental health issue appears in everywhere in the industry. Know the reality.,Thank you all.
,I've had multiple conversations with groups of coworkers that include people dealing with anxiety and depression themselves. Anyone I worked with directly and talked about this has been very supportive and empathetic.,"One coworker told me he also suffers from anxiety in the workplace, so I told him the steps I've taken to manage my own.","I went to my direct manager to get consistent time off during the day to go to therapy. He was supportive, but would get uncomfortable when talking about mental illness.",I was having a very hard time managing my anxiety and was hyperventilating and crying in the bathroom periodically. The coworkers I told about it were very supportive and helped me get the help I needed. That group of coworkers was a little older and were a great help with the administrative burden of working with an insurance company to pay for treatment.,,It may require special arrangements to be made or could possibly affect my ability to do my job if not handled properly.,While it's an important thing to discuss I would have to make a judgement call in the interview because of the social stigma with mental illness. ,,"Open dialogs about mental health, a cutback on hours, less of a reliance on alcohol for social events.",
,,,,,,"Unless it impacts my work, I wouldn't bring it up.",I wouldn't feel comfortable talking to a total stranger that is in charge of hiring me based on a 30-45 minute interview.,,Recognizing that people have problems and give them time to deal with them. The same time it would be for going to see a physical doctor or a dentist.,Admitting you have a mental illness is the first step. The second is to do something about it. This second step is the hardest to do.
,,,,,,,,,,
"suffered from depression for a while - would ask direct supervisor for immediate leave on mornings where I felt especially bad, was not only approved but comforted each time",,,,,,to determine if I'm adequate candidate and if so if their health insurance would cover some costs associated w/ treatment,"mental disorder feels like a more sensitive topic, would work there for some time to establish myself before revealing",,,
Both of them were understanding,.,.,,,,Depends on what it was.,.,,More focus on personal time and well being.,.
,,,,,,Minimal stigma attached.,Negative judgement.,,Need programs like OSMI.,"
"
, ,,,"peer counseling, as well as giving a reference to my therapist for myself, and the one for couples counseling. Typically I'd lift the vail a bit, and let them know what I rely on, to lessen the stigma around therapy. Especially around couples counseling. They seemed to respond positively, or supportive.","It was about family, personal, or relationship issues they were having. I gave them what advice I could as a peer, and a reference to three LCSW's I know. ","They don't need to know if I am able to treat the symptoms, and have no negative effect on my work. ",They don't need to know in an interview,,"Get some LCSW's in there to talk with folks. A lot of IT folks have the same issues going on, and the same personalities, and concerns. It's why they all end up in a room geeking out together, with the same conflicts. ",I'd add depression to the list above. 
,I feel like I have an anxiety attack when I am approaching a deadline and it is difficult to focus.,,,I have been feeling depressed lately after the loss of a parent.,,Depends if it is related to access to the building or office space.,I would be afraid it would be a determining factor in hiring.,,Remove the stigma of it being a condition of hiring or continued employment.,No.
"requested time off during intense workload to recover from burn-out. reaction was supportive, including approval of time off despite impact on projects.","largely discussions around burn-out, anxiety, and feeling mildly depressed;  reactions have always been supportive & understanding",,"had a depression episode and sought help for support (counseling, work schedule adjustments, etc).  The staff were supportive, respectful, and had lots of resources available.  Was able to see a counselor same day, and establish ongoing support quickly.",,"shared concerns about a major event which landed the coworker in hospital care, and ongoing discussions about what impact that would have on the team as the coworker returned to work after",I think it depends on if I believe the physical health issue would have a material impact on my ability to do the job,it depends on if I think the issue would have a material impact on my ability to do the job.,,more proactive support & education,
It was a simple here is my issue and I need a few days.,,,,,,Physical Limitations,Because I believe they are more likely to discount my value because of it.,Poorly handled reactions to suicide and how to prevent it.,Generally be open about resources and the commonness of Mental Health issues.,
"""I am not your therapist."" (This happens any time I mention any symptom. I do my best not to, but at times it is impossible.)",I've unofficially disclosed diagnoses to coworkers. They haven't said anything about them to me since. One coworker in particular has been told about 3 or 4 times about a particular diagnosis and seems to have selective memory about it.,A coworker has told me over drinks that she worked out a plan with our direct supervisor for how to manage some of her symptoms.,My supervisor was outwardly understanding at first but the situation eventually became discriminatory in nature,The coworker was very supportive and did their best to help me.,,It might affect my chances of getting the job,"I would definitely not get the job, and it would be too ""personal""","I was at one time berated to the point of experiencing a dissociative episode while sitting in my supervisor's office with a coworker present. When I later confronted the coworker about this, they did not apologize. Also, due to symptoms earlier in the year, I experienced a lapse in performance for one week (the consequences of which were minor). As a result of this I am currently being singled out and micromanaged and my behavior in the office policed, in addition to (at least the perception of) being gaslit by my current supervisor, who ""could not"" supply concrete evidence of my lack of performance.","Clients (of agencies, etc.) are less forgiving of mental illness than are tech companies or agencies. Outdated project management methodologies (waterfall) and management techniques create a stressful, every-man-for-himself atmosphere in which a mentally ill person inevitably loses out.",The appearance of support for mental health is very often just an appearance but is in practice handled very poorly on both a personal and organization level. 
,,,"A few days after my father died, my boss told me to ""compartmentalize"" and just get back to work. In the previous six months, I had lost 3 other close relatives and had a miscarriage. I was demented with depression and never took the time off I needed. It's been 3 years and I'm just getting out of the hole. ","We spoke about being burnt out. And the irony of the ""take it when you want to"" vacation policy which meant that no one took vacation. It was sick, we knew it, but we kept on.",There was a previous colleague who had a mental health crisis at a company off-site. He had to be removed from the situation and he lost his job for verbal abuse and harassment. However he was clearly suffering from mental health issues (undiagnosed at the time.) I stepped in to calm the situation down to prevent people retaliating at someone clearly in crisis.,I would be afraid of the lack of support and bias.,"Way too much bias in the country I'm living in. People never ever talk about mental health, medicine, therapy here, it's not like in the US.","I lost my job. I can't say it was a result of mental illness, but the lack of support caused me to underperform. When I was clearly grieving, I wasn't given any reprieve in my deadlines or responsibilities. They operated with US employment policies rather than EU. I was in threatening situations (being yelled at in front of colleagues) and constantly under enormous stress. I wasn't treated until after I lost my job. It was pretty bad. ","I think rules should be established and enforced around break times, rest, and vacation, as they would have been for factory work. The tech industry has ground down any advances made with labour laws with regards to well-being.",Thanks for doing this.
,no comment,,,,,prevent if something happen in the future regarding my physical issue,"it's my problem, they won't be care, just labelled me crazy and can't work",,"just talk and listen, discuss together, provide health benefit",no
,,,,"I worked with my brother at one point, so I don't think that counts.  He's supportive.  Colleagues I feel afraid to speak about it.  Since, they may view me differently.",,People can understand physical disorders.  They are more tangible.,"I'd be afraid they would label me as ""crazy"".  It's harder to understand something unless they can see it or experience it.",,Being open and honest from the start.  Expressing that it doesn't mean you are a bad employee.  They should also openly provide resources for help.,"I think this organization is something really needed for the tech community.  I remember feeling alone, different.  Really, I was different, I was alone.  That didn't mean there weren't other people out there and in fact a lot of people with mental illness are incredibly smart and skilled in certain areas (Okay, tech.  Really smart and skilled in tech :D )"
,"I'm at a conference right now and yesterday spent a lot of time with a coworker who I haven't really talked much to before. I forget which of us brought it up, but we both suffer from severe anxiety and it was oddly very comfortable and comforting to openly talk about it.",see above,"At my previous place of employment I had a mental illness that manifested itself physically and was very obvious to anyone who saw me. One of my supervisors brought up that he had a family member who suffered from the same way, and he seemed pretty understanding and was easy to talk to","As mentioned previously, one of my illnesses is obvious when it's not maintained. My coworkers at my last job were friends and were concerned so would ask me about it and offer support.","A few old coworkers have discussed issues with depression with me. We have even given eachother advice for therapists, etc",I think in the case of chronic illness it can deter employers from hiring you,I feel like I would for sure not be employed,,"General wellness programs, talking openly about, which is something I see more and more",
"Talk over depression//anxiety and medication

Took it well, shared even stories with me",,,,,,It's more accepted,Still a lot of judgment,,Just acceptation ,
"I am in the middle of a mental health crisis right now. I have taken a short leave, but have to go back Monday. I have not revealed much to my supervisor or HR, and am terrified to tell them, yet also very worried about how I will cope.",,"Limited references to working on issues with therapist, told to me by a direct report and in confidence. ","Had a bad panic attack in a meeting, had to tell my supervisor why I was leaving.",,,"Only if that issue was acute (ie upcoming surgery that would need to be accommodated). Never discuss chronic condition that would be badly understood, like reproductive issues or migraines.",Zero guarantee of empathy or understanding. Career suicide.,"Current employer is tasking me with returning to work with job descriptions for whatever I will do next. Am returning from a breakdown, have no idea how to remake my career right now. Need them to help actively, not give me all the responsibility for pitching my career arc. Need options to choose from, not vague ""what do you want to do next"". Blank canvas = horrible anxiety about choosing wrong, pitching a job they won't support","Mandatory, supported vacation AND sick days. Allow leadership tracks that still support doing technical work/direct contribution. Train managers and employees about signs of depression and burnout. Create cultures of recognition of all roles contributions, not just developers.",
,,,,,,Because they may need to know in order for me to be an effective employee,Not sure,,Not sure,
,,"The closest have got to mental health has been ""stress"" related and to a degree about self-medication",,,Only in relation to loss or trauma,Trust,Trust,"Brilliant at talking the talk rubbish at walking the walk, a serious divide between Professional PC and Personal Ideologies",Recognise and address the Global issues of CVS or Screen Fatigue (Asthenopia) by risk assessing the DSE as well as just the furniture !,Differentiating and addressing biopsychosocial stressors under the heading of Wellbeing in the chain of causation resulting in Mental Health  or deficits in Physical Health driven by stress.
,,Party A was constantly missing shifts and getting high before work. Others suspected both drugs and some form of mental health issue influencing him.,"I made them aware of my past issues with mental health and its effects. I was shortly thereafter released from work due to ""other issues"" despite proficiency at my duties.",,,I fear discrimination against me for perceived inability.,I fear rejection from the job due to the stigma associated with mental illness.,I made my supervisor aware of my difficulties in certain situations or aspects of the work environment. I was shortly thereafter let go with the reasons being vague. I will never tell another employer a god damned thing.,They see the employees daily for weeks and years on end. Providing that information or notation of behavioral anomalies could allow the employee to make a better judgement call on getting treatment. It could also aid doctors in figuring out if their patient needs care right away for their mental health. Put the restrictive surveillance of the employees to better use than using it to bitch at them if they take 3 minutes to go for a piss instead of 2.3 minutes.,
,,,,,"Different coworkers, in separate instances, described taking medication for depression or ADHD",Some physical health issues may impact my ability to perform certain job functions.,"Discrimination; interviewers would not know how to process the information, even if it were presented freely.",,"Training, and guidelines, may help deal with the prejudices associated with mental health issues at work.","The survey only addresses employed and self-employed, but does not include currently unemployed and/or looking for work, or full/part-time unemployed student."
,,,,,,,,,,
I have been granted time off at short notice to deal with various crisises. ,We participate in time to talk day so we've had lots of open discussions then. ,During time to talk day others have been open about their own experiences. ,A supervisor at one of my previous jobs suffered from anxiety disorder so any discussion about such was generally well received and I was supported. But only that one person in that one job. ,Me and a colleague were taking the same medication for mental health disorder  and we discussed this between ourselves. ,They started taking the same medication as me and sought advice. ,I don't have any physical illnesses that would impact upon my work. ,My mental health does not generally affect my work when I am medicated and I do not think discussion of health is appropriate in an interview setting. ,,Awareness and support. ,Time to talk day is really helpful if your employer is open to it. 
,,Discussing levels of anxiety from always-on culture of work/life balance. ,,,,It depends on whether it would be relevant to the conversation and/or position.,"I would ask about its environment for encouraging positive mental health, but if I had a mental health issue I would probably avoid discussing for fear of it affecting my candidacy.",,Empathy. Every industry should pause and consider the experiences of people with mental health issues or disorders. Only then will genuinely constructive plans be drawn that can support those people through their careers. ,"Causes of mental health. Oftentimes structures set up to help mental health sufferers fall short because they treat the symptoms, not the cause. Family history; home life; addictions; and minority/ethnic issues (BAME or LGBT) are other possible causes or factors. The always-on culture of the tech industry is intense, but if the above haven't been factored in, any employees with a complex mental health history and/or present won't benefit from employers' help."
,,,,,,,,,Raising awareness. Group wellness activities. Top down communication and people to talk to at all levels. ,
,,,Discussed with a manager I knew well and trusted. I would not if that hadn't been the case. It was more just notification that I would have appointments during the day.,,,It is not any of their business in an interview.,Not their business,The person was very limited in their career after they discussed .,Treat is the same as a physical issue,
I have GAD and have talked to my employer that I find change difficult - but have not really had any support with that.,I have shared by condition to be open an supportive when colleagues have expressed emotional difficulties.,Was more they were sharing some emotional issues.,,,,Would be viewed as detrimental to chance of employment,Would be viewed as detrimental to chance of employment,,Encourage people to be open. Encourage people with MH issues to talk about living with them yet still doing a gret job.,No
,,,,,,To avoid them making any perception on me which might affect my workflow and progress,in fear to loose the interview,,"Its about perception, they cannot manage their perceptions and fall for them whatever they think so first they have understand mental illness can be treated with support and care and treating the person with the same manner, so that it will not further increase",No
"They approached me about the problem and suggested services.  But it felt like it was from the point of ""stop oversharing""  take it offline.",We talk about it frequently enough - it's ubiquitous.  There is no judgement.,,,,,Depends on how desperate I am for the job.  I might hold back if I think I can work around my problem.,That would definitely be a red flag for hiring.,Politely - go away and deal with this elsewhere.,Acknowledge when there is a lack of balance in work/life and don't tout it as a badge of honor.,
,,,,,,,,,,
"When I joined I got shipped to London for a couple of months and since I would be working there I thought it would be good to disclose my problems.
Most of the response was good and the other was just wondering what a Panic Disorder actually is",Since I had a medical leave for menthal health reasons this has happened a number of times,,"It was a really good one actually , I had to ask for leave because of a breakdown and everyone was  super fine with it",Several but most of them were really good,This came from my sharing and they feeling the need to talk to someone,Because it may interfer with work,Because it may interfer with work,,,
,,,,it was probably a conversation about shared experiences with depression and therapy.,,physical health isn't mandatory for me to do my job as a designer. i'd answer if they asked but wouldn't bring it up on my own.,I consider it personal information. ,,,
,"It was one on one, the reaction was sympathetic as the conversation was about local care providers.","One of the people I coached mentioned their mental health care, it was in the context of practicing or learning communication skills that happen to overlap with aspects of that care. This was a one-on-one conversation.",,"More in the context of personal relationships, one-on-one, in close confidence. Never in an open or group context.","Always in a one-on-one context, usually in my capacity as a mentor or manager.",Concern that it would admit undue bias.,Even more fear of undue bias.,,"Offer better benefits, like an HSA/FSA match in recognition that behavioral health providers are rarely in network, even for the best plan options. Make it an open, concrete part of the culture that discussing mental health is acceptable without forcing any single person to disclose or discuss when they are not ready to do so.",
,,,,,,"If it was relevant to the job, I would bring it up","Statistically, they are less likely to hire me regardless of job type",,Improve culture to lower burnout rates,
,,,,,,"I would bring it up if I felt it were relevant to the position or would have some impact on my work arrangement (e.g., I have bad knees and would prefer a sit/stand desk option).",I feel like there is a stigma around mental health issues and would probably not bring up my own unless I felt it would significantly impact my ability to perform the job.,,Encourage more open discussion; emphasize mental health care when discussing benefits.,
,Discussing burnout,"burnout, depression",stress induced migraines,,,,,,,
"My boss and I have spoken of some of my issues over the last five years, and he has been very accommodating with time off, etc. The reaction was sympathetic. ",,,,,,I would fear being excluded because of it. Legal or not. ,Same reason...fear of being knocked out of the running. ,,"Listen, be compassionate, obey the law, and realize that working with an individual creates loyalty, not a shirking of duty. ",
